<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,1,20160701,100100,139.8500000,140.2100000,139.7200000,139.8400000,221070
GAZP,1,20160701,100200,139.9300000,140.0600000,139.8400000,140.0400000,31510
GAZP,1,20160701,100300,139.9500000,140.0600000,139.9300000,140.0000000,15100
GAZP,1,20160701,100400,140.0300000,140.1900000,139.9500000,140.1900000,41550
GAZP,1,20160701,100500,140.1300000,140.2000000,140.0300000,140.1600000,58510
GAZP,1,20160701,100600,140.1600000,140.2800000,140.1600000,140.2500000,68200
GAZP,1,20160701,100700,140.2500000,140.2700000,140.0500000,140.1100000,66530
GAZP,1,20160701,100800,140.1200000,140.1700000,140.0300000,140.0300000,17930
GAZP,1,20160701,100900,140.0300000,140.1400000,140.0000000,140.0000000,61350
GAZP,1,20160701,101000,140.0000000,140.0000000,139.7800000,139.8000000,94710
GAZP,1,20160701,101100,139.7800000,139.7900000,139.5600000,139.6900000,261250
GAZP,1,20160701,101200,139.6900000,139.8500000,139.6600000,139.8500000,42210
GAZP,1,20160701,101300,139.8600000,139.8700000,139.7600000,139.7600000,13920
GAZP,1,20160701,101400,139.7800000,139.8200000,139.7500000,139.8200000,13720
GAZP,1,20160701,101500,139.8400000,139.9100000,139.6100000,139.6600000,81400
GAZP,1,20160701,101600,139.6900000,139.7000000,139.5600000,139.7000000,46160
GAZP,1,20160701,101700,139.7200000,139.7500000,139.3600000,139.3800000,229510
GAZP,1,20160701,101800,139.4300000,139.5200000,139.4200000,139.5000000,60900
GAZP,1,20160701,101900,139.4800000,139.6100000,139.4500000,139.6100000,22200
GAZP,1,20160701,102000,139.6200000,139.6400000,139.5100000,139.5600000,24850
GAZP,1,20160701,102100,139.5500000,139.6300000,139.5400000,139.5400000,48240
GAZP,1,20160701,102200,139.5800000,139.6100000,139.5100000,139.5900000,22550
GAZP,1,20160701,102300,139.6000000,139.6500000,139.5500000,139.6000000,13280
GAZP,1,20160701,102400,139.6000000,139.6900000,139.5800000,139.5800000,10440
GAZP,1,20160701,102500,139.6200000,139.6800000,139.5200000,139.5200000,25660
GAZP,1,20160701,102600,139.5200000,139.5400000,139.4600000,139.4600000,86240
GAZP,1,20160701,102700,139.5000000,139.5200000,139.4800000,139.4800000,7080
GAZP,1,20160701,102800,139.5100000,139.5500000,139.5100000,139.5500000,7760
GAZP,1,20160701,102900,139.5500000,139.5500000,139.4500000,139.4500000,49680
GAZP,1,20160701,103000,139.4500000,139.5000000,139.4000000,139.4100000,49590
GAZP,1,20160701,103100,139.4100000,139.4500000,139.3700000,139.3700000,24790
GAZP,1,20160701,103200,139.3700000,139.4900000,139.3700000,139.4800000,7480
GAZP,1,20160701,103300,139.4800000,139.5900000,139.4800000,139.5900000,21250
GAZP,1,20160701,103400,139.5600000,139.5700000,139.5200000,139.5400000,5310
GAZP,1,20160701,103500,139.5400000,139.5400000,139.4300000,139.4500000,17660
GAZP,1,20160701,103600,139.4300000,139.5200000,139.4200000,139.5000000,35810
