<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,1,20160701,100100,2685.5000000,2693.5000000,2685.0000000,2688.0000000,4161
LKOH,1,20160701,100200,2688.0000000,2688.0000000,2685.5000000,2685.5000000,313
LKOH,1,20160701,100300,2684.5000000,2684.5000000,2684.0000000,2684.0000000,129
LKOH,1,20160701,100400,2684.0000000,2685.5000000,2683.0000000,2685.5000000,523
LKOH,1,20160701,100500,2684.0000000,2685.5000000,2681.5000000,2683.0000000,1660
LKOH,1,20160701,100600,2685.0000000,2688.5000000,2683.5000000,2687.0000000,1826
LKOH,1,20160701,100700,2685.0000000,2685.0000000,2684.0000000,2684.0000000,306
LKOH,1,20160701,100800,2684.0000000,2684.0000000,2684.0000000,2684.0000000,8
LKOH,1,20160701,100900,2684.5000000,2686.5000000,2681.0000000,2683.5000000,2236
LKOH,1,20160701,101000,2684.0000000,2684.0000000,2680.0000000,2680.0000000,1596
LKOH,1,20160701,101100,2680.0000000,2682.5000000,2677.5000000,2680.0000000,3901
LKOH,1,20160701,101200,2680.0000000,2680.0000000,2679.5000000,2680.0000000,1458
LKOH,1,20160701,101300,2679.5000000,2679.5000000,2679.5000000,2679.5000000,704
LKOH,1,20160701,101400,2678.5000000,2678.5000000,2678.5000000,2678.5000000,6
LKOH,1,20160701,101500,2679.5000000,2680.0000000,2679.5000000,2680.0000000,68
LKOH,1,20160701,101600,2678.5000000,2678.5000000,2678.0000000,2678.0000000,935
LKOH,1,20160701,101700,2677.0000000,2677.5000000,2667.5000000,2669.0000000,6026
LKOH,1,20160701,101800,2670.0000000,2671.0000000,2668.5000000,2670.0000000,478
LKOH,1,20160701,101900,2670.0000000,2670.0000000,2664.0000000,2665.5000000,6375
LKOH,1,20160701,102000,2664.5000000,2666.5000000,2664.0000000,2664.0000000,2626
LKOH,1,20160701,102100,2664.0000000,2665.5000000,2663.0000000,2663.0000000,968
LKOH,1,20160701,102200,2665.0000000,2665.0000000,2664.0000000,2664.5000000,760
LKOH,1,20160701,102300,2666.0000000,2666.5000000,2664.0000000,2664.0000000,589
LKOH,1,20160701,102400,2665.5000000,2666.5000000,2664.0000000,2664.0000000,1712
LKOH,1,20160701,102500,2664.5000000,2666.0000000,2662.0000000,2662.0000000,2431
LKOH,1,20160701,102600,2662.0000000,2662.5000000,2661.0000000,2661.5000000,2009
LKOH,1,20160701,102700,2661.5000000,2661.5000000,2661.0000000,2661.5000000,700
LKOH,1,20160701,102800,2662.0000000,2662.5000000,2661.5000000,2662.0000000,1536
LKOH,1,20160701,102900,2662.0000000,2662.0000000,2658.0000000,2658.5000000,2678
LKOH,1,20160701,103000,2659.0000000,2659.5000000,2657.5000000,2658.0000000,1264
LKOH,1,20160701,103100,2657.5000000,2659.0000000,2657.0000000,2657.0000000,1175
LKOH,1,20160701,103200,2658.0000000,2661.0000000,2657.0000000,2661.0000000,316
LKOH,1,20160701,103300,2659.5000000,2664.0000000,2659.5000000,2662.5000000,1402
LKOH,1,20160701,103400,2662.5000000,2662.5000000,2660.0000000,2661.5000000,175
LKOH,1,20160701,103500,2661.0000000,2661.0000000,2660.0000000,2660.0000000,2550
LKOH,1,20160701,103600,2660.0000000,2667.0000000,2660.0000000,2666.0000000,934
LKOH,1,20160701,103700,2665.0000000,2665.0000000,2663.0000000,2663.0000000,136
LKOH,1,20160701,103800,2665.0000000,2666.0000000,2662.0000000,2662.0000000,1011
LKOH,1,20160701,103900,2662.0000000,2664.5000000,2661.0000000,2661.0000000,637
LKOH,1,20160701,104000,2661.0000000,2661.0000000,2660.0000000,2661.0000000,1638
LKOH,1,20160701,104100,2662.0000000,2662.0000000,2662.0000000,2662.0000000,80
LKOH,1,20160701,104200,2662.0000000,2663.5000000,2659.0000000,2661.5000000,1148
LKOH,1,20160701,104300,2660.0000000,2660.0000000,2659.0000000,2659.0000000,90
LKOH,1,20160701,104400,2660.0000000,2662.0000000,2660.0000000,2662.0000000,110
LKOH,1,20160701,104500,2661.0000000,2661.0000000,2659.0000000,2659.0000000,1347
LKOH,1,20160701,104600,2659.0000000,2659.5000000,2658.0000000,2658.0000000,1500
LKOH,1,20160701,104700,2658.0000000,2659.5000000,2657.5000000,2657.5000000,594
LKOH,1,20160701,104800,2659.5000000,2660.0000000,2659.5000000,2659.5000000,260
LKOH,1,20160701,104900,2658.0000000,2659.5000000,2657.0000000,2658.0000000,5590
LKOH,1,20160701,105000,2658.0000000,2659.0000000,2657.5000000,2657.5000000,203
LKOH,1,20160701,105100,2659.5000000,2663.5000000,2659.5000000,2663.5000000,1755
LKOH,1,20160701,105200,2662.0000000,2662.0000000,2662.0000000,2662.0000000,20
LKOH,1,20160701,105300,2662.0000000,2663.0000000,2660.5000000,2663.0000000,425
LKOH,1,20160701,105400,2663.0000000,2668.0000000,2663.0000000,2665.5000000,1453
LKOH,1,20160701,105500,2665.5000000,2668.0000000,2665.5000000,2668.0000000,76
LKOH,1,20160701,105600,2668.5000000,2671.5000000,2668.5000000,2671.0000000,971
LKOH,1,20160701,105700,2670.0000000,2670.5000000,2669.0000000,2669.0000000,104
LKOH,1,20160701,105800,2669.0000000,2669.0000000,2668.0000000,2668.0000000,692
LKOH,1,20160701,105900,2667.0000000,2667.0000000,2667.0000000,2667.0000000,40
LKOH,1,20160701,110000,2665.5000000,2665.5000000,2665.5000000,2665.5000000,0
LKOH,1,20160701,110100,2666.5000000,2666.5000000,2665.0000000,2665.5000000,1704
LKOH,1,20160701,110200,2665.0000000,2665.0000000,2665.0000000,2665.0000000,87
LKOH,1,20160701,110300,2665.0000000,2666.5000000,2663.5000000,2666.5000000,1732
LKOH,1,20160701,110400,2666.0000000,2667.5000000,2664.5000000,2667.5000000,1221
LKOH,1,20160701,110500,2668.5000000,2668.5000000,2665.0000000,2668.0000000,1200
LKOH,1,20160701,110600,2666.0000000,2667.5000000,2664.5000000,2665.0000000,600
LKOH,1,20160701,110700,2665.0000000,2665.0000000,2665.0000000,2665.0000000,7
LKOH,1,20160701,110800,2664.5000000,2667.0000000,2664.5000000,2667.0000000,214
LKOH,1,20160701,110900,2665.0000000,2665.0000000,2665.0000000,2665.0000000,0
LKOH,1,20160701,111000,2665.0000000,2665.0000000,2663.5000000,2665.0000000,178
LKOH,1,20160701,111100,2665.5000000,2666.5000000,2663.0000000,2666.5000000,518
LKOH,1,20160701,111200,2662.0000000,2662.5000000,2661.5000000,2662.5000000,72
LKOH,1,20160701,111300,2661.5000000,2661.5000000,2660.5000000,2660.5000000,220
LKOH,1,20160701,111400,2661.5000000,2664.5000000,2661.5000000,2663.5000000,3774
LKOH,1,20160701,111500,2663.0000000,2664.0000000,2657.0000000,2657.0000000,5443
LKOH,1,20160701,111600,2658.0000000,2658.0000000,2658.0000000,2658.0000000,100
LKOH,1,20160701,111700,2658.0000000,2658.5000000,2657.5000000,2658.0000000,166
LKOH,1,20160701,111800,2657.5000000,2658.5000000,2657.0000000,2657.0000000,158
LKOH,1,20160701,111900,2657.5000000,2658.5000000,2657.5000000,2658.0000000,104
LKOH,1,20160701,112000,2659.0000000,2659.0000000,2657.0000000,2657.0000000,1107
LKOH,1,20160701,112100,2660.0000000,2660.0000000,2659.0000000,2659.0000000,26
LKOH,1,20160701,112200,2659.0000000,2659.0000000,2659.0000000,2659.0000000,113
LKOH,1,20160701,112300,2659.0000000,2659.0000000,2659.0000000,2659.0000000,547
LKOH,1,20160701,112400,2659.0000000,2661.5000000,2659.0000000,2660.5000000,1031
LKOH,1,20160701,112500,2661.0000000,2661.0000000,2661.0000000,2661.0000000,1
LKOH,1,20160701,112600,2659.0000000,2661.0000000,2659.0000000,2661.0000000,166
LKOH,1,20160701,112700,2661.5000000,2661.5000000,2659.5000000,2659.5000000,160
LKOH,1,20160701,112800,2659.5000000,2661.5000000,2659.5000000,2660.0000000,23
LKOH,1,20160701,112900,2661.0000000,2661.0000000,2661.0000000,2661.0000000,12
LKOH,1,20160701,113000,2660.5000000,2660.5000000,2660.5000000,2660.5000000,0
LKOH,1,20160701,113100,2660.0000000,2660.5000000,2660.0000000,2660.5000000,73
LKOH,1,20160701,113200,2659.5000000,2660.0000000,2659.5000000,2660.0000000,11
LKOH,1,20160701,113300,2660.0000000,2660.0000000,2659.0000000,2660.0000000,35
LKOH,1,20160701,113400,2659.0000000,2659.0000000,2657.5000000,2657.5000000,528
LKOH,1,20160701,113500,2657.5000000,2659.0000000,2657.5000000,2657.5000000,132
LKOH,1,20160701,113600,2657.0000000,2658.0000000,2654.5000000,2657.5000000,3838
LKOH,1,20160701,113700,2657.5000000,2659.0000000,2657.5000000,2657.5000000,123
LKOH,1,20160701,113800,2657.5000000,2657.5000000,2657.5000000,2657.5000000,17
LKOH,1,20160701,113900,2659.0000000,2659.5000000,2659.0000000,2659.0000000,204
LKOH,1,20160701,114000,2657.0000000,2657.0000000,2657.0000000,2657.0000000,9
LKOH,1,20160701,114100,2657.0000000,2657.0000000,2657.0000000,2657.0000000,22
LKOH,1,20160701,114200,2658.0000000,2659.5000000,2658.0000000,2658.5000000,672
LKOH,1,20160701,114300,2660.0000000,2661.0000000,2659.0000000,2659.0000000,335
LKOH,1,20160701,114400,2659.0000000,2659.0000000,2658.0000000,2658.0000000,390
LKOH,1,20160701,114500,2659.5000000,2659.5000000,2659.5000000,2659.5000000,142
LKOH,1,20160701,114600,2658.0000000,2658.0000000,2658.0000000,2658.0000000,0
LKOH,1,20160701,114700,2658.5000000,2658.5000000,2658.0000000,2658.0000000,330
LKOH,1,20160701,114800,2658.5000000,2658.5000000,2658.0000000,2658.0000000,30
LKOH,1,20160701,114900,2659.0000000,2659.0000000,2658.0000000,2659.0000000,40
LKOH,1,20160701,115000,2661.0000000,2661.0000000,2661.0000000,2661.0000000,0
LKOH,1,20160701,115100,2660.0000000,2661.0000000,2660.0000000,2661.0000000,24
LKOH,1,20160701,115200,2663.0000000,2663.0000000,2663.0000000,2663.0000000,0
LKOH,1,20160701,115300,2662.5000000,2663.0000000,2662.5000000,2663.0000000,56
LKOH,1,20160701,115400,2660.0000000,2662.0000000,2659.5000000,2660.0000000,222
LKOH,1,20160701,115500,2661.5000000,2661.5000000,2659.5000000,2660.0000000,423
LKOH,1,20160701,115600,2659.5000000,2660.5000000,2659.5000000,2660.5000000,500
LKOH,1,20160701,115700,2660.0000000,2661.0000000,2660.0000000,2661.0000000,186
LKOH,1,20160701,115800,2660.0000000,2660.0000000,2660.0000000,2660.0000000,0
LKOH,1,20160701,115900,2661.0000000,2661.0000000,2660.0000000,2660.0000000,658
LKOH,1,20160701,120000,2660.0000000,2661.0000000,2657.0000000,2660.0000000,4949
LKOH,1,20160701,120100,2660.0000000,2662.5000000,2658.0000000,2662.5000000,4903
LKOH,1,20160701,120200,2662.5000000,2664.5000000,2662.5000000,2664.5000000,335
LKOH,1,20160701,120300,2664.0000000,2664.0000000,2662.0000000,2662.0000000,304
LKOH,1,20160701,120400,2662.5000000,2662.5000000,2662.5000000,2662.5000000,1
LKOH,1,20160701,120500,2662.5000000,2664.0000000,2662.5000000,2662.5000000,419
LKOH,1,20160701,120600,2664.5000000,2665.0000000,2664.0000000,2664.0000000,674
LKOH,1,20160701,120700,2664.5000000,2666.5000000,2664.0000000,2664.0000000,360
LKOH,1,20160701,120800,2663.0000000,2664.5000000,2662.5000000,2664.5000000,1589
LKOH,1,20160701,120900,2665.0000000,2666.0000000,2665.0000000,2666.0000000,3035
LKOH,1,20160701,121000,2666.0000000,2668.5000000,2666.0000000,2668.5000000,684
LKOH,1,20160701,121100,2668.5000000,2670.0000000,2668.5000000,2669.0000000,568
LKOH,1,20160701,121200,2668.0000000,2668.0000000,2667.5000000,2667.5000000,100
LKOH,1,20160701,121300,2668.0000000,2669.0000000,2668.0000000,2669.0000000,115
LKOH,1,20160701,121400,2669.0000000,2669.0000000,2669.0000000,2669.0000000,3
LKOH,1,20160701,121500,2669.0000000,2669.5000000,2668.0000000,2668.0000000,347
LKOH,1,20160701,121600,2668.5000000,2668.5000000,2668.5000000,2668.5000000,410
LKOH,1,20160701,121700,2668.0000000,2669.5000000,2668.0000000,2668.0000000,113
LKOH,1,20160701,121800,2669.0000000,2669.5000000,2669.0000000,2669.5000000,13
LKOH,1,20160701,121900,2669.5000000,2669.5000000,2669.5000000,2669.5000000,0
LKOH,1,20160701,122000,2669.5000000,2669.5000000,2669.5000000,2669.5000000,1
LKOH,1,20160701,122100,2669.5000000,2670.0000000,2667.5000000,2667.5000000,271
LKOH,1,20160701,122200,2667.5000000,2668.0000000,2666.5000000,2666.5000000,267
LKOH,1,20160701,122300,2667.0000000,2667.0000000,2667.0000000,2667.0000000,1
LKOH,1,20160701,122400,2668.5000000,2668.5000000,2668.5000000,2668.5000000,0
LKOH,1,20160701,122500,2668.5000000,2668.5000000,2668.5000000,2668.5000000,16
LKOH,1,20160701,122600,2666.0000000,2666.0000000,2662.5000000,2662.5000000,1153
LKOH,1,20160701,122700,2663.0000000,2663.5000000,2661.5000000,2662.0000000,1307
LKOH,1,20160701,122800,2662.0000000,2662.0000000,2662.0000000,2662.0000000,4
LKOH,1,20160701,122900,2663.0000000,2663.0000000,2663.0000000,2663.0000000,0
