<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20160701,100100,133.3300000,133.3900000,133.0100000,133.1300000,298650
SBER,1,20160701,100200,133.1600000,133.3900000,133.0400000,133.3800000,230930
SBER,1,20160701,100300,133.2800000,133.5500000,133.2000000,133.2800000,201180
SBER,1,20160701,100400,133.2800000,133.4600000,133.2200000,133.4300000,65860
SBER,1,20160701,100500,133.4300000,133.5600000,133.3500000,133.5600000,195160
SBER,1,20160701,100600,133.5600000,133.6800000,133.5300000,133.6700000,270850
SBER,1,20160701,100700,133.6700000,133.7500000,133.4100000,133.4600000,338540
SBER,1,20160701,100800,133.4600000,133.6300000,133.4600000,133.4600000,100700
SBER,1,20160701,100900,133.4800000,133.5300000,133.4000000,133.4100000,386970
SBER,1,20160701,101000,133.4100000,133.4500000,133.0900000,133.1600000,342380
SBER,1,20160701,101100,133.1200000,133.1300000,132.7000000,132.7300000,526670
SBER,1,20160701,101200,132.7700000,132.8300000,132.6500000,132.8100000,397010
SBER,1,20160701,101300,132.8100000,132.9300000,132.6700000,132.8000000,208930
SBER,1,20160701,101400,132.7500000,132.9000000,132.7500000,132.9000000,97040
SBER,1,20160701,101500,132.8900000,132.9900000,132.8300000,132.9900000,53170
SBER,1,20160701,101600,132.9800000,132.9900000,132.7700000,132.9900000,99130
SBER,1,20160701,101700,132.9900000,132.9900000,132.7000000,132.8600000,402640
SBER,1,20160701,101800,132.8700000,132.9100000,132.6700000,132.8200000,219780
SBER,1,20160701,101900,132.8700000,132.9400000,132.8200000,132.8900000,84400
SBER,1,20160701,102000,132.9300000,132.9500000,132.7200000,132.8300000,140090
SBER,1,20160701,102100,132.8200000,132.9400000,132.8100000,132.8700000,77940
SBER,1,20160701,102200,132.8700000,132.8700000,132.8000000,132.8000000,39570
SBER,1,20160701,102300,132.8400000,132.9700000,132.8400000,132.9100000,108400
SBER,1,20160701,102400,132.9200000,132.9700000,132.8800000,132.8800000,15080
SBER,1,20160701,102500,132.9000000,132.9900000,132.6700000,132.7000000,322790
SBER,1,20160701,102600,132.7000000,132.7000000,132.5200000,132.5500000,381710
SBER,1,20160701,102700,132.5700000,132.7100000,132.5300000,132.5500000,70810
SBER,1,20160701,102800,132.5900000,132.7900000,132.5900000,132.7400000,115960
SBER,1,20160701,102900,132.7100000,132.7100000,132.6200000,132.6500000,45680
SBER,1,20160701,103000,132.6800000,132.6900000,132.5100000,132.5300000,81240
SBER,1,20160701,103100,132.5300000,132.6300000,132.5000000,132.5000000,177060
SBER,1,20160701,103200,132.5000000,132.6600000,132.4500000,132.6300000,177790
SBER,1,20160701,103300,132.6700000,132.7700000,132.6100000,132.7300000,69690
SBER,1,20160701,103400,132.7400000,132.7500000,132.5600000,132.6000000,85130
SBER,1,20160701,103500,132.6000000,132.6400000,132.4800000,132.5400000,61580
SBER,1,20160701,103600,132.5400000,132.6700000,132.4800000,132.6700000,48120
SBER,1,20160701,103700,132.6700000,133.0000000,132.6600000,132.9000000,281930
SBER,1,20160701,103800,132.9000000,132.9500000,132.7700000,132.7700000,106480
SBER,1,20160701,103900,132.7400000,132.9000000,132.7400000,132.8400000,25660
SBER,1,20160701,104000,132.8600000,132.8600000,132.5600000,132.7000000,81180
SBER,1,20160701,104100,132.7000000,132.8600000,132.6700000,132.8600000,48030
SBER,1,20160701,104200,132.8500000,132.8800000,132.6500000,132.8800000,116250
SBER,1,20160701,104300,132.8400000,132.8700000,132.7100000,132.7100000,49950
SBER,1,20160701,104400,132.7400000,132.8100000,132.7100000,132.7800000,73720
SBER,1,20160701,104500,132.7800000,132.7800000,132.6000000,132.6000000,114920
SBER,1,20160701,104600,132.6500000,132.7200000,132.6000000,132.6700000,121550
SBER,1,20160701,104700,132.7200000,132.7200000,132.5200000,132.6600000,58300
SBER,1,20160701,104800,132.6600000,132.8300000,132.6400000,132.7800000,42280
SBER,1,20160701,104900,132.7700000,132.7800000,132.6300000,132.6800000,75330
SBER,1,20160701,105000,132.7600000,132.7700000,132.6800000,132.6900000,7290
SBER,1,20160701,105100,132.7200000,132.7900000,132.6200000,132.7400000,98490
SBER,1,20160701,105200,132.7400000,132.7900000,132.6900000,132.7500000,33250
SBER,1,20160701,105300,132.7600000,132.8800000,132.6600000,132.8800000,148610
SBER,1,20160701,105400,132.8800000,133.4900000,132.8500000,133.3700000,660130
SBER,1,20160701,105500,133.4100000,133.4300000,133.2500000,133.3300000,71330
SBER,1,20160701,105600,133.3500000,133.4900000,133.3300000,133.4600000,167460
SBER,1,20160701,105700,133.4700000,133.4800000,133.3100000,133.3300000,105650
SBER,1,20160701,105800,133.3700000,133.4000000,133.3400000,133.3400000,38980
SBER,1,20160701,105900,133.3600000,133.3900000,133.3000000,133.3000000,20420
SBER,1,20160701,110000,133.3400000,133.3700000,133.2200000,133.2500000,120420
SBER,1,20160701,110100,133.2900000,133.4500000,133.2900000,133.3400000,207360
SBER,1,20160701,110200,133.3600000,133.6200000,133.3300000,133.5700000,122380
SBER,1,20160701,110300,133.6000000,133.8900000,133.5600000,133.8800000,303320
SBER,1,20160701,110400,133.8300000,133.8900000,133.6700000,133.7600000,227280
SBER,1,20160701,110500,133.7600000,133.7700000,133.4000000,133.6400000,350210
SBER,1,20160701,110600,133.6400000,133.7000000,133.5400000,133.6900000,166530
SBER,1,20160701,110700,133.7000000,133.7400000,133.3900000,133.4200000,99760
SBER,1,20160701,110800,133.4400000,133.6800000,133.4200000,133.4900000,48820
SBER,1,20160701,110900,133.5200000,133.5200000,133.3900000,133.4600000,24000
SBER,1,20160701,111000,133.4600000,133.5000000,133.4100000,133.4700000,40280
SBER,1,20160701,111100,133.4900000,133.6700000,133.4900000,133.5600000,129200
SBER,1,20160701,111200,133.6000000,133.6100000,133.4100000,133.4100000,16410
SBER,1,20160701,111300,133.4400000,133.4400000,133.1500000,133.1500000,151780
SBER,1,20160701,111400,133.1800000,133.2500000,133.1000000,133.1100000,143620
SBER,1,20160701,111500,133.1100000,133.2000000,132.9300000,132.9700000,259970
SBER,1,20160701,111600,132.9900000,133.2000000,132.9700000,133.1800000,158310
SBER,1,20160701,111700,133.1800000,133.2600000,133.1100000,133.2000000,30170
SBER,1,20160701,111800,133.2400000,133.2400000,133.1200000,133.2300000,58410
SBER,1,20160701,111900,133.1800000,133.2300000,133.1400000,133.1400000,12040
SBER,1,20160701,112000,133.1500000,133.3600000,133.1500000,133.3500000,62560
SBER,1,20160701,112100,133.3500000,133.3500000,133.0900000,133.1200000,26440
SBER,1,20160701,112200,133.1200000,133.1900000,133.1100000,133.1800000,4880
SBER,1,20160701,112300,133.1800000,133.1800000,133.0900000,133.1100000,5690
SBER,1,20160701,112400,133.1300000,133.2600000,133.1100000,133.1200000,40890
SBER,1,20160701,112500,133.1400000,133.2000000,133.0500000,133.0900000,85220
SBER,1,20160701,112600,133.1100000,133.1700000,132.8800000,133.0600000,132990
SBER,1,20160701,112700,133.1000000,133.1200000,132.8700000,133.0300000,83980
SBER,1,20160701,112800,133.0300000,133.0700000,132.9400000,133.0700000,32480
SBER,1,20160701,112900,133.0600000,133.1400000,133.0300000,133.1400000,25390
SBER,1,20160701,113000,133.1500000,133.2000000,133.0900000,133.1900000,30450
SBER,1,20160701,113100,133.1900000,133.2500000,133.0500000,133.0500000,107010
SBER,1,20160701,113200,133.1200000,133.1200000,133.0200000,133.0200000,9710
SBER,1,20160701,113300,133.0200000,133.1100000,132.9300000,132.9400000,75190
SBER,1,20160701,113400,133.0000000,133.1000000,132.8300000,132.8700000,78220
SBER,1,20160701,113500,132.9000000,132.9400000,132.8000000,132.8700000,17710
SBER,1,20160701,113600,132.8600000,132.8700000,132.6300000,132.7100000,238800
SBER,1,20160701,113700,132.7100000,132.7700000,132.6400000,132.7100000,58760
SBER,1,20160701,113800,132.7200000,132.7500000,132.6600000,132.7500000,27610
SBER,1,20160701,113900,132.8000000,132.8000000,132.7000000,132.7700000,13110
SBER,1,20160701,114000,132.7700000,132.7900000,132.6500000,132.6800000,15340
SBER,1,20160701,114100,132.6900000,132.6900000,132.6500000,132.6800000,6920
SBER,1,20160701,114200,132.6800000,132.9000000,132.6100000,132.8200000,155850
SBER,1,20160701,114300,132.8500000,133.1200000,132.8400000,133.0100000,73910
SBER,1,20160701,114400,133.0100000,133.0500000,132.9100000,132.9200000,81310
SBER,1,20160701,114500,132.9600000,133.1800000,132.9600000,133.0900000,84980
SBER,1,20160701,114600,133.0800000,133.1100000,132.9400000,133.1100000,21550
SBER,1,20160701,114700,133.1100000,133.1100000,133.0000000,133.0700000,6260
SBER,1,20160701,114800,133.0600000,133.1300000,132.9800000,133.0500000,23880
SBER,1,20160701,114900,133.0500000,133.0700000,132.9100000,132.9400000,20960
SBER,1,20160701,115000,132.9900000,133.0400000,132.9500000,133.0000000,2080
SBER,1,20160701,115100,133.0200000,133.0200000,132.9200000,132.9600000,8030
SBER,1,20160701,115200,132.9800000,133.1000000,132.9800000,133.0900000,48650
SBER,1,20160701,115300,133.0800000,133.2300000,133.0800000,133.1100000,44040
SBER,1,20160701,115400,133.1600000,133.1700000,132.9800000,132.9800000,20240
SBER,1,20160701,115500,132.9700000,133.0000000,132.7200000,132.7800000,70270
SBER,1,20160701,115600,132.7700000,132.8500000,132.6900000,132.8300000,93810
SBER,1,20160701,115700,132.8400000,132.9000000,132.7600000,132.9000000,5490
SBER,1,20160701,115800,132.9000000,132.9000000,132.8500000,132.8500000,12010
SBER,1,20160701,115900,132.8800000,132.9800000,132.7600000,132.7600000,54800
SBER,1,20160701,120000,132.7600000,132.7600000,132.5500000,132.6400000,257110
SBER,1,20160701,120100,132.6200000,132.6200000,132.3300000,132.3800000,641920
SBER,1,20160701,120200,132.3800000,132.4800000,132.1800000,132.4400000,391690
SBER,1,20160701,120300,132.4300000,132.4900000,132.3700000,132.4100000,38660
SBER,1,20160701,120400,132.4500000,132.4500000,132.3700000,132.3700000,11400
SBER,1,20160701,120500,132.4000000,132.4100000,132.3000000,132.3000000,21630
SBER,1,20160701,120600,132.3200000,132.3200000,132.0500000,132.1500000,347060
SBER,1,20160701,120700,132.1500000,132.1500000,132.0200000,132.0900000,252500
SBER,1,20160701,120800,132.0900000,132.1000000,132.0000000,132.0800000,694850
SBER,1,20160701,120900,132.0900000,132.1400000,132.0000000,132.0900000,408170
SBER,1,20160701,121000,132.0900000,132.1000000,131.8100000,131.9800000,422160
