GAZP_OPEN,GAZP_VOL,SBER_OPEN,SBER_VOL,DATE,TIME,MON,TUE,WED,THU,FRI
139.85,221070,133.33,298650,42552,100100,0,0,0,0,1
139.93,31510,133.16,230930,42552,100200,0,0,0,0,1
139.95,15100,133.28,201180,42552,100300,0,0,0,0,1
140.03,41550,133.28,65860,42552,100400,0,0,0,0,1
140.13,58510,133.43,195160,42552,100500,0,0,0,0,1
140.16,68200,133.56,270850,42552,100600,0,0,0,0,1
140.25,66530,133.67,338540,42552,100700,0,0,0,0,1
140.12,17930,133.46,100700,42552,100800,0,0,0,0,1
140.03,61350,133.48,386970,42552,100900,0,0,0,0,1
140,94710,133.41,342380,42552,101000,0,0,0,0,1
139.78,261250,133.12,526670,42552,101100,0,0,0,0,1
139.69,42210,132.77,397010,42552,101200,0,0,0,0,1
139.86,13920,132.81,208930,42552,101300,0,0,0,0,1
139.78,13720,132.75,97040,42552,101400,0,0,0,0,1
139.84,81400,132.89,53170,42552,101500,0,0,0,0,1
139.69,46160,132.98,99130,42552,101600,0,0,0,0,1
139.72,229510,132.99,402640,42552,101700,0,0,0,0,1
139.43,60900,132.87,219780,42552,101800,0,0,0,0,1
139.48,22200,132.87,84400,42552,101900,0,0,0,0,1
139.62,24850,132.93,140090,42552,102000,0,0,0,0,1
139.55,48240,132.82,77940,42552,102100,0,0,0,0,1
139.58,22550,132.87,39570,42552,102200,0,0,0,0,1
139.6,13280,132.84,108400,42552,102300,0,0,0,0,1
139.6,10440,132.92,15080,42552,102400,0,0,0,0,1
139.62,25660,132.9,322790,42552,102500,0,0,0,0,1
139.52,86240,132.7,381710,42552,102600,0,0,0,0,1
139.5,7080,132.57,70810,42552,102700,0,0,0,0,1
139.51,7760,132.59,115960,42552,102800,0,0,0,0,1
139.55,49680,132.71,45680,42552,102900,0,0,0,0,1
139.45,49590,132.68,81240,42552,103000,0,0,0,0,1
139.41,24790,132.53,177060,42552,103100,0,0,0,0,1
139.37,7480,132.5,177790,42552,103200,0,0,0,0,1
139.48,21250,132.67,69690,42552,103300,0,0,0,0,1
139.56,5310,132.74,85130,42552,103400,0,0,0,0,1
139.54,17660,132.6,61580,42552,103500,0,0,0,0,1
139.43,35810,132.54,48120,42552,103600,0,0,0,0,1
139.53,42050,132.67,281930,42552,103700,0,0,0,0,1
139.54,11550,132.9,106480,42552,103800,0,0,0,0,1
139.45,28620,132.74,25660,42552,103900,0,0,0,0,1
139.46,1420,132.86,81180,42552,104000,0,0,0,0,1
139.49,4980,132.7,48030,42552,104100,0,0,0,0,1
139.5,46000,132.85,116250,42552,104200,0,0,0,0,1
139.41,39770,132.84,49950,42552,104300,0,0,0,0,1
139.36,25740,132.74,73720,42552,104400,0,0,0,0,1
139.47,54060,132.78,114920,42552,104500,0,0,0,0,1
139.35,167090,132.65,121550,42552,104600,0,0,0,0,1
139.31,1870,132.72,58300,42552,104700,0,0,0,0,1
139.36,23310,132.66,42280,42552,104800,0,0,0,0,1
139.47,20510,132.77,75330,42552,104900,0,0,0,0,1
139.37,4030,132.76,7290,42552,105000,0,0,0,0,1
139.42,4660,132.72,98490,42552,105100,0,0,0,0,1
139.45,75060,132.74,33250,42552,105200,0,0,0,0,1
139.37,10500,132.76,148610,42552,105300,0,0,0,0,1
139.4,70390,132.88,660130,42552,105400,0,0,0,0,1
139.39,65170,133.41,71330,42552,105500,0,0,0,0,1
139.48,42270,133.35,167460,42552,105600,0,0,0,0,1
139.55,42070,133.47,105650,42552,105700,0,0,0,0,1
139.58,12440,133.37,38980,42552,105800,0,0,0,0,1
139.59,10140,133.36,20420,42552,105900,0,0,0,0,1
139.53,168320,133.34,120420,42552,110000,0,0,0,0,1
139.41,27470,133.29,207360,42552,110100,0,0,0,0,1
139.35,11600,133.36,122380,42552,110200,0,0,0,0,1
139.41,57820,133.6,303320,42552,110300,0,0,0,0,1
139.55,42320,133.83,227280,42552,110400,0,0,0,0,1
139.75,53800,133.76,350210,42552,110500,0,0,0,0,1
139.74,6770,133.64,166530,42552,110600,0,0,0,0,1
139.71,15380,133.7,99760,42552,110700,0,0,0,0,1
139.69,32770,133.44,48820,42552,110800,0,0,0,0,1
139.75,2440,133.52,24000,42552,110900,0,0,0,0,1
139.67,27940,133.46,40280,42552,111000,0,0,0,0,1
139.64,6430,133.49,129200,42552,111100,0,0,0,0,1
139.69,9930,133.6,16410,42552,111200,0,0,0,0,1
139.57,67290,133.44,151780,42552,111300,0,0,0,0,1
139.42,4040,133.18,143620,42552,111400,0,0,0,0,1
139.43,13280,133.11,259970,42552,111500,0,0,0,0,1
139.35,17350,132.99,158310,42552,111600,0,0,0,0,1
139.47,2550,133.18,30170,42552,111700,0,0,0,0,1
139.55,2950,133.24,58410,42552,111800,0,0,0,0,1
139.57,1160,133.18,12040,42552,111900,0,0,0,0,1
139.59,3380,133.15,62560,42552,112000,0,0,0,0,1
139.56,10260,133.35,26440,42552,112100,0,0,0,0,1
139.5,1420,133.12,4880,42552,112200,0,0,0,0,1
139.49,0,133.18,5690,42552,112300,0,0,0,0,1
139.53,7430,133.13,40890,42552,112400,0,0,0,0,1
139.49,100240,133.14,85220,42552,112500,0,0,0,0,1
139.36,31600,133.11,132990,42552,112600,0,0,0,0,1
139.43,10520,133.1,83980,42552,112700,0,0,0,0,1
139.36,12280,133.03,32480,42552,112800,0,0,0,0,1
139.36,7470,133.06,25390,42552,112900,0,0,0,0,1
139.43,3580,133.15,30450,42552,113000,0,0,0,0,1
139.48,21800,133.19,107010,42552,113100,0,0,0,0,1
139.45,5770,133.12,9710,42552,113200,0,0,0,0,1
139.42,27840,133.02,75190,42552,113300,0,0,0,0,1
139.4,35640,133,78220,42552,113400,0,0,0,0,1
